feature,coef,std_err,t,p_value,ci_low,ci_high,sig
const,261.0821,56.002,4.662,0.0,151.3202,370.844,***
LOG_PIB_PER_CAPITA,1.8486,1.9412,0.9523,0.341,-1.9562,5.6533,
LOG_DESPESA_SAUDE_PC,8.7858,3.0207,2.9085,0.0036,2.8653,14.7063,**
LOG_POPULACAO,12.9716,0.9207,14.089,0.0,11.1671,14.7762,***
IDHM,61.5433,42.2724,1.4559,0.1454,-21.3092,144.3957,
GINI,150.9909,19.4953,7.745,0.0,112.7808,189.201,***
RDPC,-0.1378,0.0089,-15.4134,0.0,-0.1554,-0.1203,***
PMPOB,-2.0724,0.1785,-11.6075,0.0,-2.4224,-1.7225,***
ESPVIDA,-4.2323,0.6757,-6.2635,0.0,-5.5567,-2.908,***
T_ANALF15M,1.6712,0.2391,6.9893,0.0,1.2026,2.1399,***
T_AGUA,0.8042,0.0825,9.7456,0.0,0.6424,0.9659,***
REG_N,-26.5493,4.8547,-5.4688,0.0,-36.0644,-17.0342,***
REG_NE,-17.9822,4.6423,-3.8735,0.0001,-27.081,-8.8834,***
REG_S,10.3658,3.8606,2.685,0.0073,2.7992,17.9324,**
REG_SE,-7.2174,3.5853,-2.0131,0.0441,-14.2444,-0.1904,*
ANO_2023,-5.3861,1.2862,-4.1875,0.0,-7.907,-2.8651,***
ANO_2024,6.3683,1.4515,4.3873,0.0,3.5233,9.2133,***
