CLUSTER,termo,score
0,infecc,239.4
0,intestinais,38.5
0,bacter,38.5
0,diarreia,155.7
0,gastroenterite,155.7
0,septicemias,347.1
0,erisipela,20.7
0,chagas,186.7
0,neopl,783.7
0,malig,783.7
0,boca,10.8
0,estomago,282.9
0,pele,96.6
0,colo,366.6
0,utero,366.6
0,gland,26.8
0,tireoide,26.8
0,leucemia,6.9
0,linfoide,6.9
0,diabetes,1612.6
0,mellitus,1612.6
0,insulino,1387.2
0,dependente,161.5
0,dependemte,1225.8
0,transt,1115.2
0,mentais,1115.2
0,comport,1115.2
0,alcool,1115.2
0,epilepsia,241.9
0,hipertensao,369.2
0,essencial,369.2
0,cardiaca,283.9
0,hipertensiva,103.6
0,renal,165.0
0,infarto,2010.4
0,agudo,2010.4
0,miocardio,2010.4
0,insuf,345.2
0,acid,2313.5
0,vasc,2313.5
0,cerebr,2313.5
0,hemorrag,2313.5
0,isquemico,2313.5
0,cerebrovasculares,148.5
0,sequelas,82.7
0,influenza,44.7
0,virus,44.7
0,identificado,44.7
0,agudas,45.2
0,vias,45.2
0,aereas,45.2
0,infer,45.2
0,ulcera,90.1
0,peptica,90.1
0,apendicite,25.1
0,aguda,25.1
0,ileo,100.7
0,paralitico,100.7
0,obstr,100.7
0,intestinal,100.7
0,hernia,100.7
0,alcoolica,1065.7
0,figado,1065.7
0,cronica,160.8
1,infecc,763.1
1,intestinais,148.4
1,bacter,148.4
1,diarreia,147.9
1,gastroenterite,147.9
1,micobacterias,182.8
1,septicemias,406.8
1,erisipela,36.0
1,leishmaniose,130.3
1,chagas,740.0
1,esquistossomose,420.1
1,neopl,1264.2
1,malig,1264.2
1,assoalho,17.5
1,boca,43.7
1,neop,30.5
1,labio,30.5
1,oral,30.5
1,esofago,254.3
1,estomago,170.4
1,pele,165.8
1,colo,696.3
1,utero,696.3
1,gland,11.9
1,tireoide,11.9
1,diabetes,4933.0
1,mellitus,4933.0
1,insulino,2243.8
1,dependente,290.1
1,dependemte,1953.7
1,relac,76.7
1,desnutr,76.7
1,transt,3113.0
1,mentais,3113.0
1,comport,3113.0
1,alcool,3113.0
1,epilepsia,236.8
1,estado,2.1
1,epileptico,2.1
1,mult,145.5
1,valvas,44.4
1,reumaticas,76.3
1,coracao,87.9
1,hipertensao,1504.3
1,essencial,1504.3
1,cardiaca,1116.9
1,hipertensiva,593.4
1,renal,389.3
1,infarto,2131.3
1,agudo,2131.3
1,miocardio,2131.3
1,isquemicas,11.6
1,agudas,217.3
1,cardiomiopatias,31.5
1,insuf,912.8
1,acid,4202.1
1,vasc,4202.1
1,cerebr,4202.1
1,hemorrag,4202.1
1,isquemico,4202.1
1,cerebrovasculares,447.6
1,sequelas,129.3
1,vias,205.7
1,aereas,205.7
1,super,101.1
1,influenza,102.0
1,virus,102.0
1,identificado,102.0
1,pneumonia,46.7
1,viral,46.7
1,ncop,46.7
1,infer,104.6
1,pneumonite,58.5
1,solidos,58.5
1,liquidos,58.5
1,ulcera,131.9
1,peptica,131.9
1,apendicite,20.8
1,aguda,20.8
1,hernia,139.8
1,inguinal,27.7
1,umbilical,10.2
1,ileo,101.9
1,paralitico,101.9
1,obstr,101.9
1,intestinal,101.9
1,alcoolica,1885.2
1,figado,1885.2
1,subcutaneo,78.2
1,cronica,301.9
1,eclampsia,110.0
1,compl,13.6
1,grav,13.6
1,parto,13.6
1,puerp,13.6
2,septicemias,607.7
2,dengue,442.5
2,febre,53.4
2,hemorragica,53.4
2,virus,56.2
2,neopl,1227.1
2,malig,1287.0
2,lingua,25.1
2,boca,45.4
2,orofaringe,61.7
2,hipofaringe,11.2
2,esofago,411.0
2,colon,35.3
2,juncao,17.4
2,retossigmoide,17.4
2,laringe,170.4
2,bronquios,421.8
2,pulmoes,421.8
2,melanoma,59.9
2,pele,87.7
2,diabetes,48.6
2,mellitus,48.6
2,insulino,48.6
2,dependente,48.6
2,obesidade,85.6
2,epilepsia,14.1
2,reumaticas,32.9
2,valva,32.9
2,mitral,32.9
2,hipertensao,970.1
2,essencial,970.1
2,renal,30.3
2,hipertensiva,0.6
2,insuf,588.5
2,cardiaca,558.7
2,hemorragias,50.7
2,intracranianas,50.7
2,traum,50.7
2,acid,191.7
2,vasc,191.7
2,cerebr,191.7
2,hemorrag,191.7
2,isquemico,191.7
2,cerebrovasculares,374.8
2,influenza,5.6
2,identificado,2.8
2,pneumonia,793.8
2,viral,2.6
2,ncop,59.1
2,bacter,56.6
2,microorg,734.7
2,enfisema,165.9
2,pulmonares,721.2
2,obstrutivas,721.2
2,cronicas,721.2
2,pneumonite,48.8
2,solidos,48.8
2,liquidos,48.8
2,colelitiase,3.6
2,colecistite,24.8
2,cronica,29.8
2,transt,321.6
2,trato,321.6
2,urinario,321.6
3,tuberc,802.7
3,respirat,691.4
3,conf,691.4
3,bacteriol,326.2
3,histolog,326.2
3,vias,1018.0
3,bacter,612.8
3,histol,365.2
3,sist,32.3
3,nervoso,32.3
3,orgaos,1.0
3,miliar,61.2
3,leptospirose,82.7
3,infecc,1546.6
3,meningogocica,43.7
3,erisipela,1.2
3,sifilis,19.5
3,tard,19.5
3,dengue,231.0
3,febre,28.3
3,hemorragica,28.3
3,virus,151.2
3,hepatites,12.9
3,virais,12.9
3,agudas,69.8
3,hepatite,373.0
3,viral,373.0
3,cronica,4714.4
3,parasit,1488.2
3,neopl,12113.7
3,malig,12467.5
3,espec,94.6
3,sequelas,96.2
3,base,74.5
3,lingua,147.6
3,palato,42.2
3,amigdala,29.1
3,orofaringe,139.6
3,seio,18.9
3,piriforme,18.9
3,hipofaringe,60.1
3,colon,3601.3
3,juncao,290.8
3,retossigmoide,290.8
3,reto,1147.9
3,anus,140.7
3,canal,140.7
3,anal,140.7
3,figado,590.4
3,biliares,652.8
3,intra,590.4
3,hepat,590.4
3,traqueia,2.7
3,bronquios,2790.0
3,pulmoes,2790.0
3,melanoma,353.7
3,pele,368.4
3,mama,2910.4
3,testiculos,119.0
3,hodgkin,35.0
3,leucemia,425.5
3,linfoide,76.4
3,mieloide,349.1
3,hipotireoidismos,96.5
3,obesidade,341.6
3,meningite,159.4
3,ncop,247.6
3,estado,13.3
3,epileptico,13.3
3,reumaticas,55.5
3,valva,55.5
3,mitral,53.9
3,aortica,1.6
3,cardiaca,114.1
3,renal,114.1
3,hipertensiva,114.1
3,angina,37.0
3,pectoris,37.0
3,isquemicas,56.9
3,coracao,4358.1
3,isquemica,4301.2
3,hemorragia,705.1
3,subaracnoide,495.4
3,intracerebral,209.7
3,hemorragias,92.6
3,intracranianas,92.6
3,traum,92.6
3,infarto,3082.7
3,cerebral,3082.7
3,cerebrovasculares,79.4
3,aterosclerose,110.1
3,influenza,245.6
3,identificado,122.8
3,pneumonia,394.7
3,microorg,306.5
3,bronquite,41.2
3,aguda,41.2
3,enfisema,318.6
3,pulmonares,2060.6
3,obstrutivas,2060.6
3,cronicas,2060.6
3,asma,151.6
3,pneumonite,9.9
3,hipersensibilid,9.9
3,poeiras,9.9
3,edema,157.9
3,pulmonar,157.9
3,form,157.9
3,ulcera,274.6
3,gastrica,99.4
3,duodenal,175.2
3,hernia,106.0
3,ventral,22.7
3,diafragmatica,15.3
3,abdominal,68.0
3,colelitiase,31.5
3,colecistite,53.8
3,vesicula,12.0
3,biliar,12.0
3,pancreas,2.5
3,abscesso,42.2
3,cutaneo,42.2
3,furunculo,42.2
3,antraz,42.2
3,celulite,62.1
3,subcutaneo,14.7
3,transt,1500.8
3,trato,1500.8
3,urinario,1500.8
3,afeccoes,10.6
3,inflam,10.6
3,vagina,10.6
3,vulva,10.6
3,morte,12.0
3,caus,12.0
3,obst,12.0
3,mais,12.0
3,menos,12.0
3,parto,12.0
